Column Name,Display Name,Display Note,Description,Source,Series ID,Unit,Transformation,Seasonal Adj,Known Quirks,Refresh Freq,Refresh Source
hy_oas,HY OAS (bps),High-yield corporate bond risk premium over Treasuries,ICE BofA US High Yield Index Option-Adjusted Spread,FRED,BAMLH0A0HYM2,bps,Level,NSA,Index composition changes over time; pre-2000 methodology differs,Daily,fred MCP
ig_oas,IG OAS (bps),Investment-grade corporate bond risk premium,ICE BofA US Corporate Index Option-Adjusted Spread,FRED,BAMLC0A0CM,bps,Level,NSA,Includes all IG-rated bonds; composition shifts with ratings migration,Daily,fred MCP
bb_hy_oas,BB HY OAS (bps),BB-rated high-yield bond risk premium,ICE BofA BB US High Yield Index OAS,FRED,BAMLH0A1HYBB,bps,Level,NSA,BB is the highest quality HY tier; composition changes with fallen angels,Daily,fred MCP
ccc_hy_oas,CCC HY OAS (bps),CCC-rated (riskiest) high-yield bond risk premium,ICE BofA CCC & Lower US High Yield Index OAS,FRED,BAMLH0A3HYC,bps,Level,NSA,Most volatile OAS series; spikes during stress; thin market segments,Daily,fred MCP
dgs10,10Y Treasury Yield (%),US 10-year government bond interest rate,10-Year Treasury Constant Maturity Rate,FRED,DGS10,%,Level,NSA,Market holidays cause gaps; constant maturity interpolation,Daily,fred MCP
dtb3,3M Treasury Yield (%),US 3-month government bond interest rate,3-Month Treasury Bill Secondary Market Rate,FRED,DTB3,%,Level,NSA,Can go negative during extreme flight-to-quality,Daily,fred MCP
dgs2,2Y Treasury Yield (%),US 2-year government bond interest rate,2-Year Treasury Constant Maturity Rate,FRED,DGS2,%,Level,NSA,Highly sensitive to Fed rate expectations,Daily,fred MCP
nfci,NFCI,"Chicago Fed measure of US financial conditions (negative = loose, positive = tight)",Chicago Fed National Financial Conditions Index,FRED,NFCI,Index,"Level, ffill weekly->daily",NSA,Weekly release; forward-filled to daily — induces autocorrelation,Weekly,fred MCP
fed_funds_rate,Fed Funds Rate (%),The interest rate banks charge each other for overnight loans,Effective Federal Funds Rate,FRED,DFF,%,Level,NSA,Near-zero 2008-2015 and 2020-2022,Daily,fred MCP
bbb_oas,BBB OAS (bps),BBB-rated (lowest investment-grade) bond risk premium,ICE BofA BBB US Corporate Index OAS,FRED,BAMLC0A4CBBB,bps,Level,NSA,BBB is the cliff-edge rating tier; sensitive to downgrade fears,Daily,fred MCP
fsi,St. Louis FSI,Federal Reserve measure of financial market stress (higher = more stress),St. Louis Fed Financial Stress Index (v4),FRED,STLFSI4,Index,"Level, ffill weekly->daily",NSA,Weekly release; STLFSI4 is the current version (STLFSI2 discontinued ~2022),Weekly,fred MCP
initial_claims,Initial Jobless Claims,Weekly count of new unemployment benefit applications,"Initial Claims, Seasonally Adjusted",FRED,ICSA,Thousands,"Level, ffill weekly->daily",SA,Weekly release; holiday-adjusted; COVID spike to 6M+ in 2020,Weekly,fred MCP
sofr,SOFR (%),Secured overnight financing rate — replacement for LIBOR,Secured Overnight Financing Rate,FRED,SOFR,%,Level,NSA,Starts ~April 2018; occasional quarter-end spikes,Daily,fred MCP
spy,SPY Price ($),S&P 500 index fund price,SPDR S&P 500 ETF Trust — Adjusted Close,Yahoo Finance,SPY,USD,Level (adjusted),N/A,Adjusted for splits and dividends,Daily,yfinance
vix,VIX,Market fear gauge — expected stock market volatility over next 30 days,CBOE Volatility Index,Yahoo Finance,^VIX,Index,Level,N/A,Not directly investable; mean-reverting; spikes during crises,Daily,yfinance
vix3m,VIX3M,Expected stock market volatility over next 3 months,CBOE 3-Month Volatility Index,Yahoo Finance,^VIX3M,Index,Level,N/A,Starts ~2007; shorter history than VIX,Daily,yfinance
kbe,KBE Price ($),US bank stocks index fund price,SPDR S&P Bank ETF — Adjusted Close,Yahoo Finance,KBE,USD,Level (adjusted),N/A,Starts ~2005; equal-weighted bank ETF,Daily,yfinance
iwm,IWM Price ($),Small-company stocks index fund price,iShares Russell 2000 ETF — Adjusted Close,Yahoo Finance,IWM,USD,Level (adjusted),N/A,Starts ~2000; small-cap benchmark,Daily,yfinance
move_index,MOVE Index,Bond market fear gauge — expected Treasury volatility,ICE BofA MOVE Index,Yahoo Finance,^MOVE,Index,Level,N/A,May be unavailable on Yahoo Finance; bond market equivalent of VIX,Daily,yfinance
gold,Gold Price ($/oz),Price of gold — a traditional safe-haven asset,Gold Futures (GC=F) — Close,Yahoo Finance,GC=F,USD/oz,Level,N/A,Futures contract; roll dates cause minor discontinuities,Daily,yfinance
copper,Copper Price ($/lb),Price of copper — a barometer of global economic health,Copper Futures (HG=F) — Close,Yahoo Finance,HG=F,USD/lb,Level,N/A,Futures contract; roll dates cause minor discontinuities,Daily,yfinance
dxy,Dollar Index (DXY),Value of the US dollar against a basket of major currencies,US Dollar Index — Close,Yahoo Finance,DX-Y.NYB,Index,Level,N/A,Euro-heavy basket; may have gaps on non-US holidays,Daily,yfinance
hyg,HYG Price ($),High-yield corporate bond fund price — tracks junk bond market,iShares iBoxx $ High Yield Corporate Bond ETF — Adjusted Close,Yahoo Finance,HYG,USD,Level (adjusted),N/A,Starts ~2007; ETF discount/premium to NAV during stress,Daily,yfinance
hy_ig_spread,HY-IG Spread (bps),Difference between high-yield and investment-grade risk premiums — the core signal,HY OAS minus IG OAS,Derived,D1,bps,BAMLH0A0HYM2 - BAMLC0A0CM,N/A,"Widens during stress, tightens during calm",Daily,Computed
hy_ig_zscore_252d,HY-IG Z-Score (1Y),"How unusual is today's spread compared to the past year (0 = normal, >2 = elevated)",252-day rolling z-score of HY-IG spread,Derived,D2,Std devs,(spread - rolling_mean_252) / rolling_std_252,N/A,Requires 252 obs to initialize; first ~1 year is NaN,Daily,Computed
hy_ig_zscore_504d,HY-IG Z-Score (2Y),How unusual is today's spread compared to the past 2 years,504-day rolling z-score of HY-IG spread,Derived,D3,Std devs,(spread - rolling_mean_504) / rolling_std_504,N/A,Requires 504 obs to initialize; first ~2 years NaN,Daily,Computed
hy_ig_pctrank_504d,HY-IG Percentile (2Y),"Where today's spread ranks vs the past 2 years (0.5 = median, 0.95 = very high)",504-day rolling percentile rank,Derived,D4,Ratio (0-1),rolling_rank / window,N/A,Bounded 0-1; requires 504 obs,Daily,Computed
hy_ig_pctrank_1260d,HY-IG Percentile (5Y),Where today's spread ranks vs the past 5 years,1260-day rolling percentile rank,Derived,D5,Ratio (0-1),rolling_rank / window,N/A,Bounded 0-1; requires 1260 obs (~5 years),Daily,Computed
