horizon,specification,variable,coef,se,t_stat,p_value,ci_lower,ci_upper,n_obs,r_squared
1,base,hy_ig_spread_chg,0.007092044222159008,0.004399136110321036,1.6121447584947426,0.10693044290006566,-0.0015301041171598443,0.01571419256147786,6583,0.0048327459143936435
1,base,vix,5.011240473391339e-05,3.1745863272552925e-05,1.57854912634365,0.11443951148408822,-1.2108343938423206e-05,0.00011233315340624998,6583,0.0048327459143936435
1,base,yield_spread_10y3m,-0.0001995017571968504,0.00010582598883929134,-1.8851867994337028,0.05940462239989122,-0.0004069168839501992,7.913369556498349e-06,6583,0.0048327459143936435
1,state_dependent,hy_ig_spread_chg,-0.004683185246522969,0.002827055508380564,-1.6565593539426684,0.09760859575273038,-0.010224112225244449,0.0008577417321985097,6583,0.010916028134501876
1,state_dependent,spread_chg_x_stress,0.02003204668896278,0.007769814367216738,2.578188582404776,0.009931977829328404,0.004803490362656104,0.035260603015269454,6583,0.010916028134501876
1,state_dependent,stress,-0.0007885504390551728,0.0005196197830093756,-1.5175527661558352,0.12912718189779002,-0.001806986499408067,0.00022988562129772126,6583,0.010916028134501876
5,base,hy_ig_spread_chg,0.0032069786352210217,0.0075944417367021224,0.4222797075027201,0.6728208680567178,-0.011677853651402958,0.018091810921845003,6579,0.006088165281057711
5,base,vix,0.0001941997615906471,0.00012251018123666737,1.5851724291835672,0.11292716289864775,-4.5915781372695655e-05,0.00043431530455398983,6579,0.006088165281057711
5,base,yield_spread_10y3m,-0.0009688671776432036,0.00046814797752652297,-2.06957463057354,0.03849219583114665,-0.0018864203530304553,-5.131400225595194e-05,6579,0.006088165281057711
5,state_dependent,hy_ig_spread_chg,-0.0058457929665688205,0.005695996424036477,-1.0262985668144415,0.3047508726333856,-0.01700974081374925,0.005318154880611612,6579,0.008361751661535077
5,state_dependent,spread_chg_x_stress,0.014101489761630032,0.014253873322511532,0.9893093226357753,0.3225118242049084,-0.013835588590688848,0.04203856811394891,6579,0.008361751661535077
5,state_dependent,stress,-0.0029082004831165317,0.0020380452688305056,-1.4269557833645905,0.15359264010953208,-0.006902695808886575,0.0010862948426535119,6579,0.008361751661535077
10,base,hy_ig_spread_chg,0.00033597904757528635,0.00938742532373228,0.03579032972181416,0.9714495438925275,-0.018063036494499238,0.018734994589649813,6574,0.009362065846736267
