feature,importance
yield_spread_10y3m,0.12366969437055975
nfci,0.11261564255341514
ccc_bb_spread,0.11122164621612891
hy_ig_spread,0.0785861276706958
hy_ig_zscore_504d,0.07503672454954587
hy_ig_zscore_252d,0.07301515896867902
hy_ig_mom_63d,0.0708850841166087
hy_ig_roc_63d,0.07032177414381183
vix,0.06405592317271662
hy_ig_pctrank_504d,0.06122075098080945
vix_term_structure,0.05666212925299429
hy_ig_acceleration,0.038546237209569977
hy_ig_roc_21d,0.03492555180347264
hy_ig_mom_21d,0.029237554990992013
