signal,signal_col,forward_return,n_obs,pearson_r,pearson_p,spearman_r,spearman_p,kendall_tau,kendall_p
HY-IG Spread Level,hy_ig_spread,spy_fwd_1d,6782,0.004876142628187881,0.6880573015860035,-1.0862705018677036e-05,0.9992863638805778,0.0001181712492693169,0.9883741309842259
HY-IG Spread Level,hy_ig_spread,spy_fwd_5d,6778,0.0038334728491830426,0.7523460366194801,0.004904532649480248,0.6864250212213822,0.004868638499515799,0.5481039925848702
HY-IG Spread Level,hy_ig_spread,spy_fwd_21d,6762,-0.004504879471550431,0.7111024621794987,0.02829713968624291,0.01996800017751499,0.02167847246531982,0.007559541485081074
HY-IG Spread Level,hy_ig_spread,spy_fwd_63d,6720,-0.035596975302969874,0.0035175861145824274,0.0022516455541446386,0.8535852177696828,0.003433636063073056,0.6731972584584365
HY-IG Spread Level,hy_ig_spread,spy_fwd_126d,6657,0.025475172427788146,0.03766540003908154,-0.005424180320188466,0.6581408803313453,0.002739620170352711,0.7376756617505864
HY-IG Spread Level,hy_ig_spread,spy_fwd_252d,6531,0.07719253802308622,4.199893936994975e-10,0.07408400248776949,2.045384250090555e-09,0.06098693121785854,1.523342247019624e-13
HY-IG Spread Change,hy_ig_spread_chg,spy_fwd_1d,6781,0.060266839076695645,6.821334257611199e-07,0.009732084743312358,0.4229709934743629,0.006419068755679823,0.4327577738118106
HY-IG Spread Change,hy_ig_spread_chg,spy_fwd_5d,6777,0.022573755491617047,0.06313738449360563,0.016878815214154977,0.16472648907006404,0.01067181563578297,0.19196081516047825
HY-IG Spread Change,hy_ig_spread_chg,spy_fwd_21d,6761,0.03457704307980171,0.004463049709169365,0.014466929503198899,0.23428626864645494,0.00908391051380795,0.26727587157569643
HY-IG Spread Change,hy_ig_spread_chg,spy_fwd_63d,6719,0.016835607798232094,0.16763360709089156,0.002253247844793599,0.8534929888376075,0.001361334440902261,0.8683650694019545
HY-IG Spread Change,hy_ig_spread_chg,spy_fwd_126d,6656,-0.00528707071998547,0.666276402234536,-0.026570946131646393,0.030177871256257264,-0.018504957610374635,0.024935342607730154
HY-IG Spread Change,hy_ig_spread_chg,spy_fwd_252d,6530,-0.003953923810685371,0.7493849983373034,-0.023705713971356426,0.055425760680696844,-0.016470360320632083,0.048050573982686494
HY-IG Z-Score 252d,hy_ig_zscore_252d,spy_fwd_1d,6583,0.0018750028051130242,0.8791073634784078,0.0078106373768777075,0.526334874313067,0.005877776889554551,0.47484248906109505
HY-IG Z-Score 252d,hy_ig_zscore_252d,spy_fwd_5d,6579,-8.544550202002712e-05,0.9944712976994617,0.026798245897493113,0.02973437911476732,0.019454794911030783,0.017963640590224386
HY-IG Z-Score 252d,hy_ig_zscore_252d,spy_fwd_21d,6563,0.015565777631018102,0.20736061541773293,0.036303156999080294,0.0032671840091011406,0.02802928027894108,0.0006612346906824823
HY-IG Z-Score 252d,hy_ig_zscore_252d,spy_fwd_63d,6521,-0.014997375285421149,0.22592813399717485,-0.019368079456086346,0.1178476947502323,-0.009625019018906883,0.24379389544098784
HY-IG Z-Score 252d,hy_ig_zscore_252d,spy_fwd_126d,6458,-0.05480462575529905,1.0498102156545925e-05,-0.09053270300298658,3.1244170536418393e-13,-0.05436671598803823,5.6876297113355535e-11
